restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
Andhra Spicy Inn,Quick Bites,"North Indian, South Indian, Mughlai, Andhra, Biryani, Chinese",2.8,450.0
Andhra Star Biryani,Quick Bites,Biryani,3.2,200.0
Andhra Vantakam,Casual Dining,"Andhra, Chinese, North Indian, Seafood",3.9,800.0
Andhra Vantillu,Quick Bites,"South Indian, North Indian",3.3,350.0
Andhra Vilaas,Quick Bites,"Andhra, North Indian, Biryani",3.7,350.0
Andhra Vindu Multi Cuisine Restaurant,Casual Dining,"Andhra, South Indian, Fast Food",3.3,600.0
Andy's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,"Cafe, Beverages, Fast Food",3.1,300.0
Angaar Biriyani,Quick Bites,"Biryani, Chinese, Fast Food",3.7,400.0
Angaar Indian Grill & Restaurant,Casual Dining,"Arabian, Mughlai, North Indian, Chinese, Rolls",3.9,600.0
Angel Mess,Quick Bites,South Indian,3.5,200.0
Angel Mutton Leg Soup,Quick Bites,South Indian,3.5,200.0
Angel Restaurant,Quick Bites,"Kerala, South Indian, North Indian",2.8,450.0
Angel's Kitchen,Quick Bites,Kerala,3.5,300.0
Angiie's Cafe,Quick Bites,"Burger, Fast Food",3.7,450.0
Anika's India Kitchen,Delivery,"Biryani, North Indian",3.3,250.0
Aniram's,Delivery,"Chinese, North Indian",4.1,500.0
Anjappaar,Casual Dining,"Chettinad, South Indian",3.9,650.0
Anjappar,Casual Dining,"Chettinad, South Indian",2.7,650.0
Anju's Cafe,Cafe,"Cafe, North Indian",3.4,600.0
Anna Kuteera,Casual Dining,"South Indian, North Indian, Chinese",3.8,400.0
Annabell,"Quick Bites, Beverage Shop","Continental, Beverages",4.0,700.0
Annalakshmi,Casual Dining,"Andhra, Chettinad",3.5,700.0
Annapoorani,Casual Dining,South Indian,3.9,400.0
Annapoorni Grand,Casual Dining,"Chinese, South Indian, North Indian",3.9,450.0
Annappa's Naati Mane,Quick Bites,"South Indian, Chinese",3.5,400.0
Annapurna Andhra Hotel,Quick Bites,"Mughlai, Chinese, North Indian",3.3,400.0
Annapurna Bengali Restaurant,Casual Dining,Bengali,3.9,500.0
Annapurna Benne Dose,Quick Bites,South Indian,2.8,200.0
Annapurna Foods,Casual Dining,"North Indian, Chinese, Hyderabadi",3.5,400.0
Antarastriya,Quick Bites,"Chinese, Fast Food, Momos",3.9,200.0
ANTIGRAVITY,"Pub, Casual Dining","Continental, North Indian, Chinese, BBQ",4.4,1500.0
Antilla Aromas,Dessert Parlor,"Desserts, Ice Cream",3.7,300.0
Anu Momos Chinese Kitchen,Quick Bites,"Chinese, Thai, Momos",3.7,450.0
Anupam's Coast II Coast,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",4.1,700.0
Anupam's Coastal Express,Casual Dining,"Seafood, Mangalorean, South Indian",4.1,600.0
Anushka Restaurant,Casual Dining,"North Indian, Chinese",2.8,550.0
Apna Hotel,Quick Bites,"North Indian, Hyderabadi",3.5,300.0
Apna Punjab,Quick Bites,"North Indian, Chinese, Fast Food",3.6,450.0
Apna Veg Dhaba,Casual Dining,"North Indian, Chinese",3.1,400.0
Apoorva Multi Cuisine Restaurant,Casual Dining,"North Indian, South Indian, Chinese, Andhra, Biryani",3.9,750.0
Appam & Curry,Quick Bites,"Kerala, South Indian",3.8,200.0
Appam Centre,Quick Bites,Kerala,3.2,200.0
Appana Restaurant,Quick Bites,North Indian,2.8,300.0
Appetite Workstation,Quick Bites,"North Indian, Chinese, Biryani",3.6,500.0
Apple Cafe,Quick Bites,"Beverages, Fast Food",3.3,300.0
Apsara Ice Cream,Dessert Parlor,"Ice Cream, Desserts",3.2,200.0
AQNI,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",3.6,650.0
Aqua - The Park Bangalore,"Lounge, Bar","North Indian, Mediterranean, Chinese",4.0,3000.0
Arabian Bites,Quick Bites,"North Indian, Chinese",3.4,300.0
Arabian Mataam,Quick Bites,"Biryani, Arabian",3.7,500.0
Arabian Mexico,Quick Bites,"Fast Food, Arabian",3.3,400.0
Arabian Shawarma,Kiosk,Arabian,3.7,150.0
Arafa Juice Center,Quick Bites,"Juices, Desserts, Fast Food",3.5,250.0
Aramane Brundavan,Casual Dining,"Chinese, North Indian, South Indian, Fast Food",3.3,450.0
Aramane Donne Biriyani,Quick Bites,"Biryani, Fast Food",3.9,300.0
Aramane Donne Biryani,Quick Bites,"Biryani, Fast Food",2.8,300.0
Aramane Donne Briyani,Quick Bites,"Biryani, Fast Food",3.9,300.0
Aramane Restaurant,Casual Dining,"North Indian, South Indian, Seafood, Biryani, Chinese",2.9,800.0
Arbor Brewing Company,"Pub, Microbrewery","American, Continental, Salad",4.5,2000.0
Archana's First Crush,Bakery,"Bakery, Desserts",3.7,400.0
Arena - Artisanal Brewkitchen,"Pub, Casual Dining","Sushi, Continental, Pizza, Italian, Asian",4.1,2000.0
Arina's,Quick Bites,"Fast Food, Chinese",3.3,250.0
Arirang Korean Restaurant,Casual Dining,Korean,4.0,1400.0
Armaani Caffe,Quick Bites,Fast Food,3.5,250.0
Arogya,Quick Bites,"South Indian, North Indian, Chinese",3.4,100.0
Arogya Thaana,Beverage Shop,"Beverages, Sandwich",3.8,200.0
Aroma Fine Dine,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",4.0,900.0
Aroma Of Asia,Quick Bites,"Chinese, Momos",3.9,400.0
Aroma Spice,Casual Dining,"Andhra, Chinese, North Indian, Seafood",3.7,800.0
Aroma's Hyderabad House,Casual Dining,"Mughlai, Biryani, North Indian",4.2,800.0
Aromas Of South,Casual Dining,South Indian,3.7,1000.0
Around The Corner,Quick Bites,"North Indian, Chinese, Fast Food",3.6,350.0
Art Cafe,Cafe,Cafe,3.5,1000.0
Art of Biryani & Curries,Delivery,Biryani,3.4,250.0
Art of Delight,Dessert Parlor,"Ice Cream, Desserts, Beverages",4.3,400.0
Art Of Flavours,Quick Bites,Fast Food,2.8,200.0
Artinci Artisanal Ice Cream,Dessert Parlor,"Desserts, Ice Cream",2.8,300.0
Artville Cafe,Cafe,Cafe,3.8,700.0
Arun Ice Cream,Dessert Parlor,"Ice Cream, Desserts",3.4,150.0
Arun Icecreams,Dessert Parlor,"Ice Cream, Desserts",3.1,150.0
Arusuvai D' Kitchen,Quick Bites,"South Indian, Biryani, Chettinad, Juices",3.7,350.0
Arya Bhavan Sweets,Sweet Shop,"Mithai, Street Food, North Indian",3.2,300.0
Arya Hungry?,Quick Bites,North Indian,4.3,450.0
Aryan's Kitchen,Quick Bites,"North Indian, Fast Food",3.1,500.0
Arzak,"Takeaway, Delivery","Arabian, Middle Eastern, Rolls, Seafood, BBQ",2.8,300.0
As On Fire,Food Truck,"Pizza, Fast Food, BBQ",3.4,400.0
Asaivam Restaurant,Casual Dining,"Chettinad, South Indian",4.0,750.0
Ascharya Hotel,Quick Bites,"Mangalorean, South Indian",3.3,300.0
ASEAN - On The Edge,Casual Dining,"Asian, Thai",4.4,1800.0
Asgardian Moreover Chai,Quick Bites,"Fast Food, Rolls, Juices",2.8,300.0
Asha Food Camp,Casual Dining,"Desserts, North Indian, Chinese",4.0,700.0
Asha Sweets Center,"Sweet Shop, Quick Bites","Mithai, Street Food",4.1,200.0
Asha Sweets Centre,Dessert Parlor,Fast Food,3.6,250.0
Asha Tiffins,Quick Bites,South Indian,4.3,150.0
Asharfilal,Dessert Parlor,Desserts,3.5,150.0
Ashirvaad Grand,Quick Bites,"Chinese, North Indian, South Indian",4.0,400.0
Ashirvad Resturant,Quick Bites,"North Indian, Chinese",3.2,300.0
Ashirvad Veg,Quick Bites,South Indian,3.4,300.0
Asia Alive - DoubleTree Suites By Hilton,Fine Dining,"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",4.1,2000.0
Asia In A Box,Casual Dining,"Thai, Vietnamese, Indonesian, Asian",2.9,550.0
Asia Kitchen By Mainland China,"Casual Dining, Bar","Asian, Chinese, Thai, Momos",4.9,1500.0
ASIA SEVEN,Food Court,Chinese,3.3,300.0
Assi Tussi Lassi,Beverage Shop,"Beverages, Fast Food, Ice Cream",3.6,200.0
At North Parontha Hut,Quick Bites,North Indian,2.8,200.0
Athithi,Casual Dining,"Andhra, Biryani, Chinese, North Indian",2.8,650.0
Athithi Grand Restaurant,Casual Dining,"Andhra, North Indian, Chinese",3.0,700.0
Atithi,Casual Dining,North Indian,3.7,750.0
Atithi Aharadhama,Quick Bites,South Indian,3.2,200.0
Atithi Aramane Veg,Quick Bites,"South Indian, North Indian, Chinese",3.9,300.0
Atithi Biryani Corner,Quick Bites,"Biryani, South Indian",3.3,200.0
Atithi Family Bar & Restaurant,"Casual Dining, Bar","North Indian, South Indian, Andhra",3.6,500.0
Atithi Grand Veg Hotel,Quick Bites,South Indian,2.8,300.0
Atithi Point Ande Ka Funda,Quick Bites,North Indian,3.1,150.0
Atithi Sambrama,Quick Bites,"South Indian, North Indian, Chinese",3.9,200.0
Atithi Satkaar,Quick Bites,South Indian,3.2,150.0
Atithi Satkar,Casual Dining,"South Indian, North Indian, Fast Food, Chinese",3.7,400.0
Atomic Lab,"Casual Dining, Bar","Asian, North Indian, Continental",3.5,1800.0
Atta Galata,Quick Bites,"Bakery, Fast Food",4.1,200.0
Atte Maneya Oota,Quick Bites,South Indian,2.8,400.0
Attic Lounge,Cafe,Cafe,4.0,700.0
Atty's Bakery,Bakery,Bakery,4.0,250.0
Aubree,"Cafe, Bakery","Cafe, Bakery",3.2,400.0
Aubree Le Chocolatier,Dessert Parlor,Desserts,2.8,300.0
Auntie Anne's,Dessert Parlor,Desserts,4.0,500.0
Auntie Fung's,Casual Dining,"Asian, Chinese",4.2,600.0
Aura - Radha Regent,Bar,"Continental, American, South Indian, Italian, North Indian, Chinese",3.6,1200.0
Authentic Aandhra,Delivery,"Andhra, North Indian",2.8,300.0
AutoExpress - Hot Dogs,Quick Bites,Fast Food,3.3,300.0
Avanti Indian Barbeque & Grill,Casual Dining,North Indian,3.4,1100.0
Avista Cafe Pizzeria,Cafe,"Cafe, Italian",4.5,650.0
Avon Bar & Kitchen,Casual Dining,"Andhra, Chinese, North Indian",3.7,700.0
Awesome Biryani,"Takeaway, Delivery","Biryani, Fast Food, Mughlai",2.8,500.0
Awesome Foods,Quick Bites,"Chinese, North Indian",3.7,300.0
Axomi - Taste of Assam,Casual Dining,Assamese,4.0,500.0
Ayda Persian Kitchen,Casual Dining,"North Indian, Iranian",3.7,950.0
Ayodhya Food Line,Quick Bites,"South Indian, North Indian, Fast Food, Chinese",3.4,250.0
Ayodhya Sagara,Quick Bites,"Chinese, North Indian, South Indian",3.8,200.0
Ayodhya Upachar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",4.3,200.0
Azimmo Treat,Casual Dining,"North Indian, Chinese",3.8,700.0
Azura Restaurant,Casual Dining,"North Indian, Mughlai, Chinese, Arabian, Kerala",2.8,500.0
B & B The Pub,"Casual Dining, Bar","Asian, Continental",3.6,1000.0
B Bhagat Tarachand,Casual Dining,"North Indian, Chinese, Street Food, Beverages",4.2,700.0
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,"Fine Dining, Bar","North Indian, Italian, Chinese, Japanese",4.3,3400.0
B.M.W - Bhookh Mitaane Wala,Delivery,"North Indian, South Indian, Chinese",3.6,500.0
B.M.W Bhookh Mitaane Wala,Quick Bites,"North Indian, South Indian, Chinese",3.5,500.0
B1,Pub,"Continental, Burger, Italian, Pizza, North Indian, Salad",3.9,1100.0
B2D Indori Dhaba,Quick Bites,North Indian,3.3,100.0
B52 - Sports Bar,Bar,"Continental, American, Chinese, Finger Food",3.5,1200.0
Baahubelly,Casual Dining,"South Indian, North Indian",3.7,500.0
Baar Union,"Bar, Pub","Continental, Finger Food, Asian, Chinese",4.6,850.0
Baba Bhature,"Takeaway, Delivery",North Indian,3.7,200.0
Baba Chatkora,Casual Dining,North Indian,2.8,1000.0
Baba Da Dhaba,Casual Dining,North Indian,3.6,650.0
Baba Fattoosh,Delivery,North Indian,3.6,300.0
Baba Ka Dhaba,Quick Bites,North Indian,3.7,400.0
BabaYaga's,"Bar, Casual Dining","American, Finger Food",4.0,1500.0
Babu Moshai,Quick Bites,"Fast Food, Bengali",3.0,500.0
Bachelor's Special Biriyani,Quick Bites,"Biryani, North Indian, South Indian",3.3,250.0
Bada Bing Burgers,Delivery,"Burger, Desserts",3.5,300.0
Bademiyan Kebabs,Casual Dining,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",3.8,600.0
Bageecha,Casual Dining,"North Indian, Chinese",2.1,650.0
Bahar Cafe,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",4.0,750.0
Baisakhi,Casual Dining,North Indian,3.8,500.0
Baithak,"Casual Dining, Bar","Continental, North Indian, Mughlai",4.2,1100.0
Bajji House,Quick Bites,Street Food,3.5,100.0
Bake a Smile,"Takeaway, Delivery","Bakery, Desserts",3.4,400.0
Bake Addiction,Bakery,"Bakery, Desserts",4.0,500.0
Bake and Fry,"Takeaway, Delivery","Fast Food, Sandwich",3.1,400.0
Bake and Juice,Quick Bites,Fast Food,3.5,400.0
Bake Delite,"Bakery, Quick Bites","Bakery, Fast Food",3.7,400.0
Bake Land,Bakery,Bakery,3.2,150.0
Bake N Joy,Dessert Parlor,"Bakery, Beverages",3.5,500.0
Bake The Cake,"Bakery, Beverage Shop","Bakery, Fast Food, Beverages",3.2,250.0
Bake-ooh,"Takeaway, Delivery",Bakery,3.7,350.0
Baker Ree,Delivery,"Bakery, Desserts",3.7,200.0
Bakers 77,"Bakery, Quick Bites","Bakery, Fast Food",2.8,400.0
Baker's Cafe,Bakery,"Bakery, Desserts",3.5,200.0
Bakers Day,Bakery,"Bakery, Desserts",3.9,200.0
Baker's Glove,"Bakery, Quick Bites","Desserts, Bakery",3.3,550.0
Baker's Home,"Bakery, Dessert Parlor","Bakery, Desserts",3.9,300.0
Bakers Paradise,"Bakery, Dessert Parlor","Bakery, Desserts, Beverages",3.0,100.0
Bakers Town,Cafe,"Cafe, Continental, Fast Food",3.5,600.0
Bakewalk,Bakery,"Bakery, Arabian",3.3,200.0
Bakimo,Casual Dining,Continental,3.5,850.0
Bakingo,Bakery,"Bakery, Desserts",3.4,500.0
Balaji Abhiruchi Multicuisine Restaurant,Casual Dining,"South Indian, North Indian, Chinese",3.4,550.0
Balaji Bombay Vada Pav Gujrati Dalebi,Takeaway,"Street Food, Sandwich",3.8,150.0
Balaji Hotel,Quick Bites,"South Indian, North Indian, Beverages",2.8,300.0
Ballava,Quick Bites,"North Indian, South Indian",3.3,400.0
Balle Balle Dhaba,Quick Bites,"North Indian, Chinese",3.6,500.0
Balle-Licious Kitchen,Delivery,North Indian,3.9,400.0
Baluchi - The Lalit Ashok Bangalore,Fine Dining,"North Indian, Kashmiri, Mughlai",4.0,3700.0
Bamboo Heights,Casual Dining,"Chinese, Fast Food, Continental",3.7,500.0
Bamboo Shades,Casual Dining,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",2.8,1000.0
Bamey's Restro Cafe,Casual Dining,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",4.2,600.0
Banana Beach Bar,Bar,"Continental, Chinese",3.7,1300.0
Banana Leaf,Casual Dining,Andhra,3.5,500.0
Banaras Sweet House,"Sweet Shop, Quick Bites","Mithai, Fast Food",3.7,100.0
Banarasi Chat Centre,Quick Bites,Street Food,3.2,150.0
Banarasi Tadka,Quick Bites,North Indian,2.7,200.0
Banashankari Biriyani,Quick Bites,"Biryani, South Indian",2.8,300.0
Banashankari Donne Biriyani,Quick Bites,"South Indian, Biryani",3.3,300.0
Banashankari Nati Style,Quick Bites,South Indian,3.6,300.0
Banashankari Restaurant,Quick Bites,South Indian,3.6,400.0
BanBay,Cafe,"Cafe, Modern Indian, Pizza, Burger, Desserts",4.0,1100.0
Banchharam,Quick Bites,"Street Food, Mithai",3.9,200.0
Bang - The Ritz-Carlton,Lounge,Finger Food,4.2,3000.0
Bangali Babu Restaurant,Sweet Shop,"Mithai, Desserts, Fast Food",3.2,250.0
Bangaliana,Casual Dining,Bengali,3.0,600.0
Bangalir Rannaghar,Quick Bites,"Bengali, North Indian, Chinese",2.9,250.0
Bangalore Agarwal Bhavan,Quick Bites,"Mithai, Street Food",3.0,500.0
BANGALORE BOX,"Casual Dining, Bar","Asian, Continental, Finger Food",4.1,1500.0
Bangalore Brew Works,"Microbrewery, Lounge","Continental, Italian",4.2,1700.0
Bangalore Bytes,Quick Bites,"Fast Food, South Indian, Biryani",3.5,300.0
Bangalore Cafe,Quick Bites,"South Indian, Fast Food",3.7,400.0
Bangalore Cakes,Bakery,Bakery,2.9,250.0
Bangalore Donne Biriyani,Quick Bites,"South Indian, Biryani",3.2,300.0
Bangalore Durbar Fast Food,"Takeaway, Delivery","North Indian, South Indian, Chinese, Kerala",3.6,600.0
Bangalore Express,"Takeaway, Delivery","Bengali, Chinese, Seafood",2.8,300.0
Bangalore Food Cafe,Quick Bites,"North Indian, South Indian, Chinese, Fast Food",2.8,300.0
Bangalore Grill House,Quick Bites,"Arabian, BBQ, Mexican",3.2,300.0
Bangalore Mandarin,Casual Dining,"Chinese, Seafood",4.2,1100.0
Bangalore Masala House,Cafe,"Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts",4.1,500.0
Bangalore Pantry,Quick Bites,"Chinese, North Indian, Biryani, Arabian",2.8,400.0
Bangalore Pub Exchange,"Pub, Casual Dining","Continental, Finger Food, Pizza, North Indian",4.1,1000.0
Bangalore Shadi Biriyani,Quick Bites,"Chinese, North Indian",3.5,150.0
Bangalore Star Biriyani,Quick Bites,"Biryani, Chinese, North Indian",3.4,300.0
Bangalore Vibes,Quick Bites,"North Indian, Chinese",3.2,300.0
Bangarpet Chat Express,Quick Bites,"Street Food, Fast Food",3.3,100.0
Bangarpet Chats,Quick Bites,Street Food,2.8,80.0
Bangarpet Chats Adda,Quick Bites,"Street Food, Sandwich, Beverages",2.8,200.0
Bangarpet Chats Corner,Quick Bites,Street Food,3.3,150.0
Banjara Melting Pot,Casual Dining,"North Indian, Chinese, Seafood",4.2,1700.0
Bansuri Sweets,Quick Bites,"Street Food, North Indian",3.8,200.0
Bao & Grills,Food Court,"Chinese, Asian",2.8,300.0
Bao and Rolls,Quick Bites,"Rolls, Kebab, Fast Food",3.6,250.0
BAR BAR,"Bar, Casual Dining","Continental, North Indian, Italian",4.1,1500.0
Bar UNO - JW Marriott Bengaluru,Lounge,Spanish,3.9,2500.0
Barbecoa,Casual Dining,"North Indian, Continental, Chettinad, Andhra, Bengali",4.3,1000.0
Barbecue by Punjab Grill,Casual Dining,BBQ,4.7,1300.0
Barbecued - By The Orchard,Casual Dining,North Indian,4.3,1200.0
Barbeque Delight,Casual Dining,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",3.4,650.0
Barbeque Nation,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",3.8,1600.0
Barbeque Station,Casual Dining,"North Indian, Chinese, BBQ",2.8,700.0
Barcode,Bar,"South Indian, North Indian",3.8,1300.0
Barebones - The Balcony Bar,"Bar, Casual Dining","Chinese, Continental, Finger Food, Italian",4.2,1500.0
Barista,Cafe,Cafe,3.2,300.0
Barkaas,Casual Dining,"Arabian, Biryani, Desserts, Beverages, Salad",4.2,1000.0
Barkat,Quick Bites,Kerala,3.4,250.0
Barley & Grapes Cafe,Cafe,"Cafe, Italian, Continental",4.2,1000.0
Barleyz,"Lounge, Microbrewery","North Indian, Continental, Chinese",3.7,2000.0
Basava Bhavana (B2),Quick Bites,South Indian,2.8,200.0
Basavanagudi Mylari,Quick Bites,South Indian,4.0,300.0
Basaveshwara Kanawali,Quick Bites,South Indian,3.5,250.0
Basaveshwara Khanavali,Quick Bites,South Indian,3.3,150.0
Basaveshwarnagar Dosa Corner,Quick Bites,South Indian,3.8,200.0
Basawa Hotel,Quick Bites,South Indian,3.4,250.0
Based On A True Story- Bistro,"Cafe, Quick Bites","Cafe, Burger, Italian, Desserts",4.3,800.0
Basil Joint,"Takeaway, Delivery","Fast Food, Beverages",3.5,300.0
Baskin Robbins,Dessert Parlor,"Ice Cream, Desserts",2.9,250.0
Basmati Bar & Restaurant,Casual Dining,"Biryani, Andhra, North Indian, Chinese",3.8,800.0
Basmati Delights,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.0,500.0
Basmati Restaurant,Casual Dining,"Biryani, Andhra, North Indian, Chinese",3.8,900.0
Basmati's Briyani Nation,"Takeaway, Delivery","Biryani, Fast Food",2.8,350.0
Basveshwara Khaanavali,Quick Bites,South Indian,2.8,250.0
Bat Chef,Quick Bites,Fast Food,2.6,500.0
Bathinda Dine,Casual Dining,North Indian,3.9,950.0
Bathinda Junction,Casual Dining,North Indian,3.8,600.0
Bathinda Tandoor,Quick Bites,North Indian,2.8,300.0
Batter Splatter,Bakery,Bakery,3.3,350.0
Bawarchi,Quick Bites,"North Indian, Chinese",3.0,400.0
Bawarchi Biryani,Quick Bites,"Biryani, South Indian",3.4,350.0
Bawarchi Inn,Casual Dining,"North Indian, Biryani, Andhra, Chinese",3.0,600.0
Bawarchi Khaana,Quick Bites,"North Indian, Chinese",3.3,600.0
Bawarchi Paradise,Quick Bites,"North Indian, Biryani",3.5,500.0
Bawarchi Restaurant,Casual Dining,"North Indian, Biryani",3.1,700.0
Bay Root,Quick Bites,"North Indian, Arabian",3.7,400.0
Bazaar - Zone By The Park,Casual Dining,"Continental, South Indian, North Indian, Asian",4.0,1400.0
Bazaar- Zone By The Park,Casual Dining,"Continental, South Indian, North Indian, Asian",3.8,1100.0
BBCUE Whitefield,Fine Dining,Continental,3.5,2400.0
BBQ King,Casual Dining,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",3.4,400.0
BBQ Ride 46,Food Truck,BBQ,3.4,200.0
BBQ@52,Casual Dining,"BBQ, Biryani, Continental",3.7,1500.0
BBQ'D - Global Grill & Brewery,"Casual Dining, Microbrewery","BBQ, North Indian",4.3,1500.0
BBxR,Delivery,"Biryani, Kebab",3.5,400.0
BDBD Banashri Davangere Benne Dose Hotel,Quick Bites,South Indian,3.7,150.0
Beach Hut,Casual Dining,"North Indian, Chinese",3.5,650.0
Bean D'er Cafe,Quick Bites,"Tamil, Fast Food",3.4,250.0
Bean Flickers,Cafe,"Cafe, American, Fast Food, Coffee, Continental",4.3,700.0
Bearfoot Cafe,Cafe,Cafe,4.2,600.0
Bearful,Casual Dining,"Continental, North Indian, Chinese, Pizza",3.8,1000.0
Bearys Restaurant,Casual Dining,"South Indian, North Indian",3.3,450.0
Beer Adda,"Casual Dining, Pub","North Indian, Chinese, Pizza",4.2,1000.0
Beetle Juice Bar - Springs Hotel & Spa,Bar,Finger Food,3.7,2200.0
Begin with us....Tea Time Cafe,Beverage Shop,"Beverages, Tea",3.8,300.0
Begum's Biriyani,Quick Bites,"Biryani, North Indian, Chinese",3.2,500.0
Behrouz Biryani,Delivery,Biryani,3.9,650.0
Beijing Bites,Casual Dining,"Chinese, Thai",2.7,850.0
BEIR,Casual Dining,"Mexican, American",2.8,800.0
Bekal,Casual Dining,"Kerala, Mangalorean, Seafood",4.0,700.0
Belgian Waffle Factory,Dessert Parlor,Desserts,4.8,400.0
BelgYum,Dessert Parlor,Desserts,2.8,400.0
Bella,Casual Dining,"Mangalorean, Seafood, South Indian",3.9,1000.0
Bella?s Kitchen,Casual Dining,"Chinese, Seafood, North Indian",2.9,600.0
Bellandur Kitchen,Quick Bites,"North Indian, Chinese",3.4,400.0
Belly Deli,Delivery,"Fast Food, Biryani",4.1,400.0
Belly Doze,"Takeaway, Delivery","North Indian, Mughlai, Chinese",3.6,600.0
Belly Squad Food Truck,Food Truck,"Chinese, Rolls, Biryani, Momos",3.8,300.0
Benaka Sweets,Sweet Shop,Mithai,3.3,300.0
Bendakaluru Bytes,Quick Bites,Fast Food,3.2,300.0
Bene - Sheraton Grand Bangalore Hotel at Brigade...,Fine Dining,"Italian, European, Mediterranean",4.2,2500.0
