restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Mainland China,Restaurant,"Chinese, Asian, Sushi, Momos, Japanese, Thai",4.4,1800.0,Senapati Bapat Road,Pune
Ahilyadevi's Thali,Restaurant,Maharashtrian,4.5,1200.0,Katraj,Pune
The French Window Patisserie,Restaurant,"Cafe, Desserts, French, Bakery, European",4.6,600.0,Koregaon Park,Pune
BMG - Unplugged,Restaurant,"Continental, North Indian, Italian, Chinese",4.3,1500.0,Hadapsar,Pune
Yeti and the Monk,Restaurant,"Tibetan, Vietnamese",4.4,500.0,Khadki,Pune
Hotel Shreyas,Restaurant,"Maharashtrian, Fast Food, Beverages",4.0,500.0,Deccan Gymkhana,Pune
Rubabdaar,Restaurant,"North Indian, Mughlai, Chinese",4.4,1400.0,Baner,Pune
Hakuna Matata,Restaurant,"North Indian, Chinese, Mexican, Italian",4.2,1600.0,JM Road,Pune
Reddy's Restaurant,Restaurant,"North Indian, Chinese, Mughlai",4.0,700.0,Karve Nagar,Pune
Guru Sawants's Malwan Katta,Restaurant,Malwani,4.3,500.0,Karve Nagar,Pune
Tawa Street,Restaurant,"North Indian, Fast Food",4.0,600.0,Viman Nagar,Pune
Village - The Soul of India,Restaurant,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",3.9,1000.0,Hadapsar,Pune
Jashn,Restaurant,"North Indian, Mughlai, American, Italian, Asian",4.1,950.0,Salunkhe Vihar Road,Pune
Apache High Street,Restaurant,"Finger Food, Continental, Salad",4.3,1100.0,Baner,Pune
Farmaaish Lounge & Bar,Restaurant,"Continental, Asian, North Indian, European",4.0,1200.0,Viman Nagar,Pune
Fish Curry Rice,Restaurant,"Seafood, Goan, Malwani, Maharashtrian",4.4,1200.0,Law College Road,Pune
Krave - Kitchen & Bar,Restaurant,"North Indian, Continental, European",4.0,1500.0,Pimple Nilakh,Pune
Pide Turkish Cafe,Restaurant,"Turkish, Beverages",4.2,500.0,FC Road,Pune
Rajdhani,Restaurant,"Rajasthani, Gujarati, North Indian",3.8,800.0,Viman Nagar,Pune
Raju Uncle's Chole Bhature,Restaurant,North Indian,4.2,200.0,Katraj,Pune
Bacharika- Rooftop Bar And Kitchen,Restaurant,"Chinese, North Indian, Continental, Middle Eastern, European",0.0,1000.0,Kothrud,Pune
Sujata Mastani,Restaurant,"Ice Cream, Beverages",4.4,200.0,Sadashiv Peth,Pune
Italy Via Punjab,Restaurant,"Italian, North Indian",4.1,800.0,Baner,Pune
TNG - The Natty & Groovy,Restaurant,"Continental, Chinese, Finger Food, North Indian, Beverages",0.0,1400.0,Koregaon Park,Pune
Portico - Sayaji Hotel,Restaurant,"North Indian, Asian, European, Salad",4.4,1400.0,Wakad,Pune
360 Degree - The Lounge,Restaurant,"North Indian, Continental, Asian, Mughlai",3.6,1400.0,JM Road,Pune
Desi Dhaba,Restaurant,North Indian,4.2,300.0,Hinjawadi,Pune
The K Factory,Restaurant,"Continental, Italian, North Indian, Desserts, Salad, Charcoal Chicken, Biryani, Beverages",4.3,2000.0,Baner,Pune
Playboy Beer Garden,Restaurant,"American, Chinese, North Indian",3.8,1800.0,Koregaon Park,Pune
Turque - Sayaji Hotel,Restaurant,"Asian, Mughlai, North Indian, Salad",4.5,1700.0,Wakad,Pune
