restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Ali Snacks Point,Quick Bites,"Chinese, Momos",3.4,150.0,Malleshwaram,Malleshwaram,Bangalore
Alibaba Cafe and Restaurant,Casual Dining,"Arabian, Middle Eastern",2.9,700.0,Kammanahalli,Kalyan Nagar,Bangalore
Alibi - Maya International Hotel,Casual Dining,"North Indian, Continental, Chinese",1.8,1200.0,Brigade Road,Church Street,Bangalore
AlienSip,Beverage Shop,Juices,3.6,200.0,Bannerghatta Road,BTM,Bangalore
Alif Restaurant,Casual Dining,"North Indian, Chinese",3.6,600.0,Bannerghatta Road,JP Nagar,Bangalore
Aligarh House,Delivery,"North Indian, Biryani, Awadhi, Mughlai",4.4,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala,Bangalore
Alikemom,"Takeaway, Delivery",North Indian,2.8,300.0,Electronic City,Electronic City,Bangalore
All Aromas,Quick Bites,"North Indian, Biryani",2.8,400.0,Basavanagudi,Jayanagar,Bangalore
All Saints Bakery,Bakery,Bakery,3.6,200.0,Brigade Road,Brigade Road,Bangalore
All Shook Up,"Dessert Parlor, Beverage Shop","Desserts, Beverages",3.6,300.0,Brookefield,Marathahalli,Bangalore
All Shook Up!,"Dessert Parlor, Beverage Shop","Desserts, Beverages",3.6,300.0,Malleshwaram,Rajajinagar,Bangalore
Allahabadi Tadaka,Casual Dining,North Indian,2.9,250.0,Indiranagar,Domlur,Bangalore
Allana Kabab,Quick Bites,North Indian,3.3,200.0,Church Street,Richmond Road,Bangalore
Alloro - The Oterra,Fine Dining,Italian,4.0,2500.0,Electronic City,Electronic City,Bangalore
Al-Madina,"Takeaway, Delivery","North Indian, Chinese",3.3,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Al-Madina Restaurant,Casual Dining,"Arabian, North Indian, Chinese, Kerala",3.4,400.0,Basavanagudi,City Market,Bangalore
Al-Marhaba Restaurant,Quick Bites,"Arabian, Chinese, North Indian, Rolls, Momos",2.8,400.0,Bannerghatta Road,BTM,Bangalore
Al-Noor Restaurant,Quick Bites,"Chinese, North Indian, Mughlai",2.8,400.0,Kalyan Nagar,Nagawara,Bangalore
Alpha - House of Biryani & Tandoor,Casual Dining,"Biryani, North Indian, Chinese",3.3,800.0,Brookefield,Whitefield,Bangalore
Al-Sidique,Quick Bites,"North Indian, Chinese",4.0,400.0,Rajajinagar,Vijay Nagar,Bangalore
alt,"Bar, Lounge",Finger Food,4.1,1900.0,Whitefield,Whitefield,Bangalore
Altaf's Chillies Restaurant,Casual Dining,"North Indian, Chinese",3.8,500.0,Frazer Town,Frazer Town,Bangalore
Altaj Restaurant,Casual Dining,"North Indian, Chinese",3.3,700.0,Malleshwaram,Rajajinagar,Bangalore
Al-Taj Restaurant,Casual Dining,"South Indian, North Indian, Chinese",3.3,600.0,Rajajinagar,Rajajinagar,Bangalore
Alter Ego D'Deli,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",3.8,650.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,"Italian, Salad",4.3,3000.0,Brookefield,Whitefield,Bangalore
AM WOW,Beverage Shop,Beverages,3.4,100.0,Banashankari,Jayanagar,Bangalore
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,Desserts,2.8,500.0,Brookefield,Whitefield,Bangalore
Amande Patisserie,Bakery,"Bakery, French, Desserts",4.0,300.0,Banashankari,Basavanagudi,Bangalore
Amanthrana Gardenia,Casual Dining,"North Indian, Andhra, BBQ, Seafood, Chinese",3.8,800.0,Brookefield,Brookefield,Bangalore
Amantrana,Casual Dining,"North Indian, South Indian",3.2,800.0,Rajajinagar,Magadi Road,Bangalore
Amar Kolkata,Quick Bites,"Bengali, North Indian, Chinese",3.2,300.0,Indiranagar,Old Airport Road,Bangalore
Amara Food Point,"Takeaway, Delivery",South Indian,3.3,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amaravathi Bar & Restaurant,"Casual Dining, Bar","North Indian, Chinese, Seafood",3.7,400.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
Amaravathi Mess,Quick Bites,"Andhra, Biryani",3.6,400.0,Electronic City,Electronic City,Bangalore
Amaravati,Quick Bites,"North Indian, Chinese",3.6,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amaravati - Pure Veg Restaurant,Quick Bites,"South Indian, North Indian, Chinese",3.5,350.0,Marathahalli,Kaggadasapura,Bangalore
Amaravati Authentic Andhra Restaurant,Casual Dining,"Andhra, Chinese, North Indian, Biryani",3.0,600.0,Brookefield,Brookefield,Bangalore
Amaravati Food Court,Quick Bites,Kerala,3.3,300.0,Whitefield,Whitefield,Bangalore
Amaravati Grand,Casual Dining,"Chinese, Andhra, Mangalorean",3.3,550.0,Jayanagar,BTM,Bangalore
Amazing Blue Pub,Pub,Finger Food,3.4,900.0,Malleshwaram,Seshadripuram,Bangalore
Ambara Gardenia,Casual Dining,"Andhra, North Indian, Chinese, Seafood",3.8,800.0,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,Bangalore
Ambarsaria,Casual Dining,North Indian,2.7,800.0,New BEL Road,New BEL Road,Bangalore
Amber Rush by The Pool,"Bar, Casual Dining","North Indian, Chinese, Continental",3.9,1500.0,Brookefield,Marathahalli,Bangalore
Amber Rush Restobar,Pub,"Continental, Chinese, Fast Food",4.1,1000.0,Brigade Road,Residency Road,Bangalore
Ambika Biryani Corner,Quick Bites,Biryani,3.5,300.0,Rajajinagar,Rajajinagar,Bangalore
Ambika Vegetarian Hotel,Casual Dining,"North Indian, Fast Food",3.7,500.0,Malleshwaram,Rajajinagar,Bangalore
Ambujam's Chettinad Mess,"Quick Bites, Mess","South Indian, Chettinad",3.2,400.0,Kammanahalli,Banaswadi,Bangalore
Ambur Azad Darbar,Quick Bites,"North Indian, Fast Food, Biryani",3.1,250.0,Jayanagar,BTM,Bangalore
Ambur Biriyani,Quick Bites,Biryani,3.2,200.0,Indiranagar,Old Airport Road,Bangalore
Ambur Biriyani Centre,Quick Bites,Biryani,3.2,150.0,Sarjapur Road,Bellandur,Bangalore
Ambur Biriyani Classic,Casual Dining,"Biryani, South Indian, North Indian",3.3,700.0,Electronic City,Electronic City,Bangalore
Ambur Biriyani Point,Quick Bites,Biryani,3.6,150.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Ambur Biriyani Zone,Quick Bites,"Biryani, Kebab",3.2,200.0,Kammanahalli,Kammanahalli,Bangalore
Ambur Biryani,Quick Bites,"South Indian, Fast Food",3.2,450.0,HSR,HSR,Bangalore
Ambur Biryani Hotel,Quick Bites,Biryani,3.2,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Ambur Biryani Mess,Mess,Biryani,3.4,250.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Ambur Biryani Point,Quick Bites,Biryani,3.3,150.0,Bellandur,Sarjapur Road,Bangalore
Ambur Chicken Biryani,Quick Bites,Biryani,3.1,250.0,HSR,HSR,Bangalore
Ambur Darbar Biriyani Point,Quick Bites,Biryani,3.2,200.0,Malleshwaram,Yeshwantpur,Bangalore
Ambur Dum Biriyani,Quick Bites,Biryani,2.8,160.0,Banashankari,Basavanagudi,Bangalore
Ambur Dum Biryani,Quick Bites,"Biryani, Fast Food",2.8,300.0,Electronic City,Electronic City,Bangalore
Ambur Hot Dum Biriyani,Quick Bites,Biryani,3.1,200.0,Old Airport Road,Jeevan Bhima Nagar,Bangalore
Ambur Hot Dum Biryani,Quick Bites,Biryani,3.0,200.0,Marathahalli,Thippasandra,Bangalore
Ambur Star Biryani,Quick Bites,Biryani,3.5,200.0,Bellandur,Sarjapur Road,Bangalore
Ambur Star Briyani,Casual Dining,"North Indian, Chinese, Biryani",3.6,500.0,Indiranagar,Indiranagar,Bangalore
Ambur Star Dum Biriyani,Quick Bites,Biryani,3.2,200.0,Residency Road,Wilson Garden,Bangalore
Ambur Star Dum Biryani,Quick Bites,Biryani,2.8,250.0,Bellandur,Sarjapur Road,Bangalore
Ambur Tasty Biriyani,Quick Bites,Biryani,3.2,200.0,HSR,HSR,Bangalore
Amchoor,Quick Bites,"North Indian, Beverages",3.8,250.0,Marathahalli,Marathahalli,Bangalore
Amdo's Corner Tibetan Foods,Quick Bites,"Tibetan, Momos",4.0,250.0,Brigade Road,Richmond Road,Bangalore
American Bites,Quick Bites,"Fast Food, Burger, Pizza",2.4,450.0,Frazer Town,Kalyan Nagar,Bangalore
American Desserts,"Takeaway, Delivery","Desserts, Bakery",3.6,500.0,Kalyan Nagar,Banaswadi,Bangalore
Amexicano,Food Truck,"American, Mexican",3.8,400.0,Indiranagar,East Bangalore,Bangalore
Amigos Kitchen,Quick Bites,"Chinese, North Indian, Mexican, Fast Food",3.7,400.0,Kalyan Nagar,Banaswadi,Bangalore
Amjad Bhai's Star Hotel - Home Food Only,Quick Bites,"North Indian, South Indian",2.8,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Ammachide Addukala,Quick Bites,Kerala,3.5,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Amma's Biryani & Rice,Quick Bites,"Biryani, Fast Food",2.8,300.0,Kalyan Nagar,Kammanahalli,Bangalore
Amma's Cafe,Quick Bites,Fast Food,3.2,300.0,HSR,HSR,Bangalore
Amma's Pastries,Bakery,Bakery,3.9,400.0,Kalyan Nagar,HBR Layout,Bangalore
Ammi's Biryani,Casual Dining,"Biryani, North Indian",2.7,500.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Ammus Hot N Cool,Quick Bites,"North Indian, Chinese",3.4,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amnesia - The Poolside Bar,"Casual Dining, Bar","North Indian, Chinese, Continental",3.7,2000.0,Brigade Road,Residency Road,Bangalore
Amoeba Sports Bar,"Lounge, Bar","Continental, Chinese",3.9,1000.0,Brookefield,Whitefield,Bangalore
Amontron,Casual Dining,Bengali,3.9,650.0,Bannerghatta Road,BTM,Bangalore
Amour Fine Patisserie,"Cafe, Dessert Parlor","Cafe, Desserts, Continental",4.0,500.0,HSR,HSR,Bangalore
Amravathi Restaurants & Caterers,Quick Bites,"North Indian, Chinese",3.1,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amrit,Food Court,"North Indian, Seafood",3.4,600.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Amrita Nadia Sweets,Sweet Shop,Mithai,3.2,400.0,New BEL Road,Jalahalli,Bangalore
Amrith Ice Cream,Dessert Parlor,Ice Cream,4.1,100.0,Malleshwaram,Malleshwaram,Bangalore
Amritsari Kulcha Bite,Quick Bites,North Indian,3.9,150.0,Indiranagar,Ulsoor,Bangalore
Amritsari Kulcha Land,Quick Bites,North Indian,4.0,300.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Amrut,Quick Bites,"North Indian, Chinese, Fast Food",3.5,300.0,Malleshwaram,Malleshwaram,Bangalore
Amruta,Casual Dining,"South Indian, North Indian, Chinese",3.8,600.0,Lavelle Road,Majestic,Bangalore
Amruth Parkland,"Bar, Casual Dining","North Indian, Chinese",3.5,900.0,Sarjapur Road,Sarjapur Road,Bangalore
Amrutha Foods,Quick Bites,South Indian,2.8,300.0,Marathahalli,Old Airport Road,Bangalore
Amrutha Grand Restaurant,Casual Dining,"North Indian, Biryani, Chinese",3.2,500.0,Bellandur,Sarjapur Road,Bangalore
Amrutha Mess,Quick Bites,Kerala,3.4,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amrutha Sweets,Quick Bites,"Street Food, Mithai",3.5,200.0,Koramangala 4th Block,Ejipura,Bangalore
AM's Cafe Recreate,"Takeaway, Delivery","Chinese, North Indian",3.3,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Amul Ice Cream,Dessert Parlor,"Desserts, Ice Cream",2.8,100.0,HSR,HSR,Bangalore
An Egg Story,Cafe,"Cafe, Continental, American, Italian",4.0,600.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Anamika Roll Centre,Quick Bites,"North Indian, Fast Food, Rolls",3.2,300.0,Jayanagar,Wilson Garden,Bangalore
Anand Donne Biriyani,Quick Bites,Biryani,3.6,200.0,Banashankari,Jayanagar,Bangalore
Anand Sagar Inn,Casual Dining,"South Indian, North Indian, Chinese",3.2,450.0,Jayanagar,Basavanagudi,Bangalore
Anand Sweets and Savouries,Quick Bites,"Mithai, Street Food",4.0,400.0,Kalyan Nagar,Kammanahalli,Bangalore
Anda Ka Funda,Quick Bites,"North Indian, Chinese",3.1,300.0,JP Nagar,Jayanagar,Bangalore
Anda Special-Pav Bhaji,Quick Bites,Fast Food,3.4,200.0,New BEL Road,Yeshwantpur,Bangalore
Andal Mess,Mess,"Biryani, South Indian, North Indian",3.1,300.0,Koramangala 4th Block,Domlur,Bangalore
Ande Ka Funda,Quick Bites,"North Indian, Fast Food, Rolls",2.8,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Andhra Amigos,Casual Dining,"Andhra, North Indian, Biryani",3.6,350.0,Electronic City,Electronic City,Bangalore
Andhra Bhojanam,Casual Dining,"North Indian, South Indian, Andhra",3.6,600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Andhra Biriyani Palace,Quick Bites,"Biryani, Andhra",2.8,250.0,Kalyan Nagar,Nagawara,Bangalore
Andhra Biryani & Curries,Quick Bites,"North Indian, South Indian, Chinese, Andhra, Biryani",3.1,400.0,Electronic City,Electronic City,Bangalore
Andhra Biryanis,Casual Dining,"Andhra, Biryani, North Indian",4.0,700.0,Brookefield,Whitefield,Bangalore
Andhra Box,Quick Bites,"Andhra, Biryani, Chinese",3.2,400.0,Brookefield,Marathahalli,Bangalore
Andhra Central,Food Court,Andhra,3.1,400.0,Brookefield,Marathahalli,Bangalore
Andhra Chettinad Cuisine,Quick Bites,"Andhra, South Indian, Chettinad",3.6,250.0,Electronic City,Electronic City,Bangalore
Andhra Express,"Takeaway, Delivery","Andhra, Biryani, North Indian, Beverages",3.7,300.0,Marathahalli,CV Raman Nagar,Bangalore
Andhra Food Cafe (AFC),Quick Bites,"Andhra, North Indian, South Indian",3.3,250.0,Electronic City,Electronic City,Bangalore
Andhra Ghumaghumalu,Quick Bites,"Andhra, Biryani, North Indian",2.8,300.0,Brookefield,Whitefield,Bangalore
Andhra Grills,Casual Dining,"Andhra, North Indian, Biryani",3.0,800.0,Bannerghatta Road,JP Nagar,Bangalore
Andhra Kafe,Casual Dining,"Andhra, South Indian, North Indian, Biryani",3.8,550.0,Brookefield,Whitefield,Bangalore
Andhra Kitchen,Quick Bites,Andhra,3.9,400.0,Electronic City,Electronic City,Bangalore
Andhra Mess,Mess,"Andhra, Biryani, Chinese",2.8,400.0,Brookefield,Brookefield,Bangalore
Andhra Paris,Quick Bites,Andhra,3.2,250.0,Bellandur,Sarjapur Road,Bangalore
Andhra Ruchi's Restaurant,Delivery,"Andhra, North Indian, Biryani",3.1,500.0,Whitefield,Whitefield,Bangalore
Andhra Ruchulu,Casual Dining,"Andhra, North Indian",4.2,800.0,Bannerghatta Road,JP Nagar,Bangalore
Andhra Spice,Casual Dining,"North Indian, Hyderabadi, Chinese, South Indian, Beverages, Desserts",2.8,600.0,Bellandur,Sarjapur Road,Bangalore
Andhra Spice Mess,Quick Bites,"Andhra, Biryani, North Indian, Chinese",3.4,250.0,New BEL Road,New BEL Road,Bangalore
Andhra Spicy,Quick Bites,"Andhra, Biryani",3.5,400.0,Bellandur,Bellandur,Bangalore
Andhra Spicy Food Court,Quick Bites,"Andhra, Biryani",3.2,400.0,Electronic City,Electronic City,Bangalore
Andhra Spicy Inn,Quick Bites,"North Indian, South Indian, Mughlai, Andhra, Biryani, Chinese",2.8,450.0,Kalyan Nagar,Nagawara,Bangalore
Andhra Star Biryani,Quick Bites,Biryani,3.2,200.0,Marathahalli,Brookefield,Bangalore
Andhra Vantakam,Casual Dining,"Andhra, Chinese, North Indian, Seafood",3.9,800.0,Malleshwaram,Rajajinagar,Bangalore
Andhra Vantillu,Quick Bites,"South Indian, North Indian",3.3,350.0,HSR,HSR,Bangalore
Andhra Vilaas,Quick Bites,"Andhra, North Indian, Biryani",3.7,350.0,Bellandur,Sarjapur Road,Bangalore
Andhra Vindu Multi Cuisine Restaurant,Casual Dining,"Andhra, South Indian, Fast Food",3.3,600.0,Brookefield,Marathahalli,Bangalore
Andy's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,"Cafe, Beverages, Fast Food",3.1,300.0,New BEL Road,New BEL Road,Bangalore
Angaar Biriyani,Quick Bites,"Biryani, Chinese, Fast Food",3.7,400.0,Whitefield,Whitefield,Bangalore
Angaar Indian Grill & Restaurant,Casual Dining,"Arabian, Mughlai, North Indian, Chinese, Rolls",3.9,600.0,Kalyan Nagar,HBR Layout,Bangalore
Angel Mess,Quick Bites,South Indian,3.5,200.0,Marathahalli,Kaggadasapura,Bangalore
Angel Mutton Leg Soup,Quick Bites,South Indian,3.5,200.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Angel Restaurant,Quick Bites,"Kerala, South Indian, North Indian",2.8,450.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Angel's Kitchen,Quick Bites,Kerala,3.5,300.0,Whitefield,Whitefield,Bangalore
Angiie's Cafe,Quick Bites,"Burger, Fast Food",3.7,450.0,Bellandur,Sarjapur Road,Bangalore
Anika's India Kitchen,Delivery,"Biryani, North Indian",3.3,250.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Aniram's,Delivery,"Chinese, North Indian",4.1,500.0,Bannerghatta Road,JP Nagar,Bangalore
Anjappaar,Casual Dining,"Chettinad, South Indian",3.9,650.0,Marathahalli,Marathahalli,Bangalore
Anjappar,Casual Dining,"Chettinad, South Indian",2.7,650.0,Jayanagar,JP Nagar,Bangalore
Anju's Cafe,Cafe,"Cafe, North Indian",3.4,600.0,Bannerghatta Road,JP Nagar,Bangalore
Anna Kuteera,Casual Dining,"South Indian, North Indian, Chinese",3.8,400.0,Residency Road,St. Marks Road,Bangalore
Annabell,"Quick Bites, Beverage Shop","Continental, Beverages",4.0,700.0,Indiranagar,Indiranagar,Bangalore
Annalakshmi,Casual Dining,"Andhra, Chettinad",3.5,700.0,Bellandur,Bellandur,Bangalore
Annapoorani,Casual Dining,South Indian,3.9,400.0,Indiranagar,Indiranagar,Bangalore
Annapoorni Grand,Casual Dining,"Chinese, South Indian, North Indian",3.9,450.0,Lavelle Road,Majestic,Bangalore
Annappa's Naati Mane,Quick Bites,"South Indian, Chinese",3.5,400.0,Rajajinagar,Rajajinagar,Bangalore
Annapurna Andhra Hotel,Quick Bites,"Mughlai, Chinese, North Indian",3.3,400.0,Electronic City,Electronic City,Bangalore
Annapurna Bengali Restaurant,Casual Dining,Bengali,3.9,500.0,Brookefield,Whitefield,Bangalore
Annapurna Benne Dose,Quick Bites,South Indian,2.8,200.0,JP Nagar,JP Nagar,Bangalore
Annapurna Foods,Casual Dining,"North Indian, Chinese, Hyderabadi",3.5,400.0,Bellandur,Bellandur,Bangalore
Antarastriya,Quick Bites,"Chinese, Fast Food, Momos",3.9,200.0,Malleshwaram,Malleshwaram,Bangalore
ANTIGRAVITY,"Pub, Casual Dining","Continental, North Indian, Chinese, BBQ",4.4,1500.0,Marathahalli,Marathahalli,Bangalore
Antilla Aromas,Dessert Parlor,"Desserts, Ice Cream",3.7,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Anu Momos Chinese Kitchen,Quick Bites,"Chinese, Thai, Momos",3.7,450.0,Kalyan Nagar,Kammanahalli,Bangalore
Anupam's Coast II Coast,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",4.1,700.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Anupam's Coastal Express,Casual Dining,"Seafood, Mangalorean, South Indian",4.1,600.0,Basavanagudi,Shanti Nagar,Bangalore
Anushka Restaurant,Casual Dining,"North Indian, Chinese",2.8,550.0,Brookefield,Whitefield,Bangalore
Apna Hotel,Quick Bites,"North Indian, Hyderabadi",3.5,300.0,Brookefield,Whitefield,Bangalore
Apna Punjab,Quick Bites,"North Indian, Chinese, Fast Food",3.6,450.0,Bannerghatta Road,BTM,Bangalore
Apna Veg Dhaba,Casual Dining,"North Indian, Chinese",3.1,400.0,Bellandur,Bellandur,Bangalore
Apoorva Multi Cuisine Restaurant,Casual Dining,"North Indian, South Indian, Chinese, Andhra, Biryani",3.9,750.0,Brookefield,Brookefield,Bangalore
Appam & Curry,Quick Bites,"Kerala, South Indian",3.8,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Appam Centre,Quick Bites,Kerala,3.2,200.0,Bannerghatta Road,JP Nagar,Bangalore
Appana Restaurant,Quick Bites,North Indian,2.8,300.0,Bannerghatta Road,BTM,Bangalore
Appetite Workstation,Quick Bites,"North Indian, Chinese, Biryani",3.6,500.0,Bellandur,Sarjapur Road,Bangalore
Apple Cafe,Quick Bites,"Beverages, Fast Food",3.3,300.0,Marathahalli,Marathahalli,Bangalore
Apsara Ice Cream,Dessert Parlor,"Ice Cream, Desserts",3.2,200.0,Brookefield,Whitefield,Bangalore
AQNI,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",3.6,650.0,Malleshwaram,New BEL Road,Bangalore
Aqua - The Park Bangalore,"Lounge, Bar","North Indian, Mediterranean, Chinese",4.0,3000.0,Church Street,MG Road,Bangalore
Arabian Bites,Quick Bites,"North Indian, Chinese",3.4,300.0,Basavanagudi,BTM,Bangalore
Arabian Mataam,Quick Bites,"Biryani, Arabian",3.7,500.0,Frazer Town,Frazer Town,Bangalore
Arabian Mexico,Quick Bites,"Fast Food, Arabian",3.3,400.0,JP Nagar,Bannerghatta Road,Bangalore
Arabian Shawarma,Kiosk,Arabian,3.7,150.0,Frazer Town,Kammanahalli,Bangalore
Arafa Juice Center,Quick Bites,"Juices, Desserts, Fast Food",3.5,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Aramane Brundavan,Casual Dining,"Chinese, North Indian, South Indian, Fast Food",3.3,450.0,Malleshwaram,Rajajinagar,Bangalore
Aramane Donne Biriyani,Quick Bites,"Biryani, Fast Food",3.9,300.0,Bannerghatta Road,BTM,Bangalore
Aramane Donne Biryani,Quick Bites,"Biryani, Fast Food",2.8,300.0,JP Nagar,JP Nagar,Bangalore
Aramane Donne Briyani,Quick Bites,"Biryani, Fast Food",3.9,300.0,Jayanagar,JP Nagar,Bangalore
Aramane Restaurant,Casual Dining,"North Indian, South Indian, Seafood, Biryani, Chinese",2.9,800.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Arbor Brewing Company,"Pub, Microbrewery","American, Continental, Salad",4.5,2000.0,Brigade Road,Brigade Road,Bangalore
Archana's First Crush,Bakery,"Bakery, Desserts",3.7,400.0,Bellandur,Sarjapur Road,Bangalore
Arena - Artisanal Brewkitchen,"Pub, Casual Dining","Sushi, Continental, Pizza, Italian, Asian",4.1,2000.0,Indiranagar,Indiranagar,Bangalore
Arina's,Quick Bites,"Fast Food, Chinese",3.3,250.0,Church Street,Frazer Town,Bangalore
Arirang Korean Restaurant,Casual Dining,Korean,4.0,1400.0,Kalyan Nagar,Kammanahalli,Bangalore
Armaani Caffe,Quick Bites,Fast Food,3.5,250.0,Bannerghatta Road,BTM,Bangalore
Arogya,Quick Bites,"South Indian, North Indian, Chinese",3.4,100.0,HSR,HSR,Bangalore
Arogya Thaana,Beverage Shop,"Beverages, Sandwich",3.8,200.0,Whitefield,Whitefield,Bangalore
Aroma Fine Dine,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",4.0,900.0,Koramangala 4th Block,HSR,Bangalore
Aroma Of Asia,Quick Bites,"Chinese, Momos",3.9,400.0,MG Road,Frazer Town,Bangalore
Aroma Spice,Casual Dining,"Andhra, Chinese, North Indian, Seafood",3.7,800.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Aroma's Hyderabad House,Casual Dining,"Mughlai, Biryani, North Indian",4.2,800.0,Kalyan Nagar,Nagawara,Bangalore
Aromas Of South,Casual Dining,South Indian,3.7,1000.0,Rajajinagar,Race Course Road,Bangalore
Around The Corner,Quick Bites,"North Indian, Chinese, Fast Food",3.6,350.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
