restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Jiffy Cafe,Cafe,Cafe,3.4,500.0,Kalyan Nagar,Hennur,Bangalore
Jigani Dum Biryani Centre,Quick Bites,Biryani,3.3,150.0,Electronic City,Electronic City,Bangalore
Jigarthanda,"Beverage Shop, Quick Bites","Beverages, Rolls",3.5,300.0,Malleshwaram,Malleshwaram,Bangalore
Jimi's Beer Cafe,Bar,"American, North Indian, Chinese",3.9,1700.0,Indiranagar,Indiranagar,Bangalore
Jingo BBQ & Burgers,Quick Bites,"Burger, BBQ",3.9,550.0,Frazer Town,Kammanahalli,Bangalore
Jiyan Swadista,Quick Bites,"Chinese, Kebab, North Indian",3.4,300.0,Marathahalli,Marathahalli,Bangalore
Jiyo Natural,Delivery,"Healthy Food, North Indian",3.6,300.0,Bannerghatta Road,South Bangalore,Bangalore
JLT Food,Quick Bites,North Indian,3.6,450.0,Brookefield,Whitefield,Bangalore
Jodhpur Jaika,Quick Bites,"North Indian, Street Food",3.3,200.0,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Bangalore
Jodhpur Sweets,Beverage Shop,"Desserts, Street Food",3.8,100.0,Electronic City,Electronic City,Bangalore
Jodhpur Sweets & Corner,"Dessert Parlor, Sweet Shop","Desserts, Street Food, Mithai",3.7,200.0,Koramangala 4th Block,BTM,Bangalore
Joey's,Quick Bites,"Chinese, Fast Food",3.7,300.0,Bannerghatta Road,BTM,Bangalore
Johnny Fox,Bar,"North Indian, Chinese",3.9,1500.0,"Byresandra,Tavarekere,Madiwala",Hosur Road,Bangalore
Johny's Kitchen,Quick Bites,"North Indian, South Indian",4.1,300.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Jonah's,"Casual Dining, Bar","Italian, Seafood, American, Continental",4.1,1100.0,Indiranagar,Indiranagar,Bangalore
Joon Restaurant,Quick Bites,"Arabian, Chinese, North Indian, Kerala, Juices",3.7,400.0,Bannerghatta Road,BTM,Bangalore
Jordan Food Corner,Quick Bites,"North Indian, Fast Food",2.8,200.0,Marathahalli,Marathahalli,Bangalore
Jose's Mess,Mess,"Kerala, South Indian, Biryani",4.3,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Joshi's Mumbai Masala,Quick Bites,"Street Food, Fast Food",3.3,150.0,Basavanagudi,Basavanagudi,Bangalore
Joshitha Andra Mess,Mess,"Andhra, Biryani",3.2,250.0,Electronic City,Electronic City,Bangalore
JP Fish Land,Quick Bites,Seafood,3.6,300.0,Bannerghatta Road,BTM,Bangalore
J's Cafe,Cafe,"Cafe, Continental",3.9,700.0,Indiranagar,Indiranagar,Bangalore
JS Food Court,Quick Bites,"Fast Food, Juices",3.8,400.0,Frazer Town,Kammanahalli,Bangalore
Juba Cafe,Quick Bites,Juices,3.4,100.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Jubli Biryani,Quick Bites,"Biryani, Chinese",3.6,500.0,Whitefield,Whitefield,Bangalore
Juice 99,Beverage Shop,"Fast Food, Beverages",3.5,150.0,Koramangala 4th Block,BTM,Bangalore
Juice Berg,Bakery,"Bakery, Desserts",4.0,500.0,Whitefield,Whitefield,Bangalore
Juice Buzz,Beverage Shop,Juices,3.1,200.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
